# Created by Octave 4.2.2, Thu May 02 15:12:13 2019 CEST <rpr@rpr-LIFEBOOK-A357>
# name: tmp
# type: complex matrix
# rows: 172
# columns: 1
 (-0.03649819524241474,0.1315497982609503)
 (10,0)
 (0.03359611198783419,-0.03083722262630095)
 (0.07262576668170201,0.1126581364802298)
 (0.01398021826981882,0.1574496579521466)
 (0.1836914918535931,0.1196078325415681)
 (-0.1017756570374043,0.1703268069791472)
 (-0.09535877913418545,0.1035342789418987)
 (-0.1392501413634914,-0.03698659860458934)
 (-0.109766835582166,-0.01162612458206957)
 (15,0)
 (0.1440106509752867,-0.04484489946317789)
 (0.0660090122483535,0.09865392867790465)
 (-0.01569629862007968,0.06318760054228269)
 (-0.08784028627682151,0.1477163578387969)
 (-0.1487580476700986,0.02083524386854243)
 (-0.1366536408992117,-0.07949867777468854)
 (-0.01917380949430506,-0.1291163915563313)
 (-0.007532570182875446,-0.08187593975501398)
 (20,0)
 (0.05312684829782355,0.03663050463756694)
 (0.09886318661826497,0.1020663094017922)
 (-0.0340389017538472,0.1304224760171787)
 (-0.1223826543453135,0.01861685871522832)
 (-0.1330303681287799,-0.05888294253480528)
 (0.0481577935285462,-0.07941991230364162)
 (0.1584703664693739,-0.1575206987886035)
 (0.07873020887038784,0.09193642866034799)
 (25,0)
 (0.1353278315343482,-0.06542886556377815)
 (0.02819522326496068,0.09748050112779799)
 (-0.144745603978773,0.033156962288685)
 (-0.09460130555961506,-0.02122671075439062)
 (0.01620192548672615,-0.1683108261255523)
 (0.1184695576054769,-0.007631110054126644)
 (0.1037257461832442,0.124757735630707)
 (-0.001921851328799851,0.1065941968476723)
 (30,0)
 (0.1638578349920027,0.04676288716346375)
 (0.03840704039869401,0.1995118335762905)
 (-0.1162537884118452,0.1193475439405362)
 (-0.01709015263912352,-0.1155174660784023)
 (0.1037873202286188,-0.07765787020213744)
 (0.0356465765458943,0.02201904354067977)
 (-0.01463183904638454,0.1401341213040678)
 (-0.04505234664702387,-0.09277594501710575)
 (35,0)
 (0.007026092719121024,0.02624817975971605)
 (0.05500315792282282,0.2226329034105655)
 (-0.1742556062080952,-0.0399023137045129)
 (-0.03669666525626685,-0.01487402648713596)
 (0.1321371819167411,0.1503441271444733)
 (0.05107016109163616,0.1510520169165174)
 (-0.1318976538104757,-0.0550251953943218)
 (0.03389907317578127,-0.148289673738704)
 (40,0)
 (0.1241558484247882,0.0160268372112339)
 (-0.07540139758867746,0.1616226365580666)
 (-0.03439188698179226,-0.004960131722590057)
 (0.02433140890084374,-0.06399760056754158)
 (0.1943682575464921,0.07862981056946093)
 (-0.09375494542246525,-0.04466429287170168)
 (-0.01302609906114325,-0.1662730572708188)
 (0.1885882460706513,0.02583073359019475)
 (45,0)
 (0.2732548688433177,0.07833504382433759)
 (0.02177602925057152,0.2911541150229053)
 (0.1195455982713813,-0.05517970104864264)
 (0.07221694711595215,-0.1296232716690997)
 (-0.05684504439456037,0.1183354004141623)
 (-0.1249110727758799,-0.01956203658489313)
 (0.1229098919403354,-0.07299644680030917)
 (-0.01870751555173741,0.02026978617991861)


